can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_scf,E_thermal_correction,E_zpe,G,G_thermal_correction,H,H_thermal_correction,charge,converged,dipole,electronegativity,electronic_spatial_extent,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,multiplicity,number_of_atoms,zero_point_correction
CN(C)c1cc(B(c2cc(N(C)C)c(Br)c(N(C)C)c2)c2cc(N(C)C)c(Br)c(N(C)C)c2)cc(N(C)C)c1Br,-9235.730975,9.6997,36342.7553,5016.113,-9236.27713403,0.738558,-9235.775388,-9235.856815,0.612718,-9235.73003,0.739502,0.0,1.0,1.9743,0.15058000000000002,35334.2415,0.10599000000000001,-0.25657,-0.04459,737.224,5354.278,1.0,82.0,0.694145
CN(C)c1cc(B(c2cc(N(C)C)c(C(F)(F)F)c(N(C)C)c2)c2cc(N(C)C)c(C(F)(F)F)c(N(C)C)c2)cc(N(C)C)c1C(F)(F)F,-2532.921247,3.4144,35778.9016,5126.563,-2533.52660585,0.790348,-2532.971691,-2533.058877,0.652718,-2532.920303,0.791293,0.0,1.0,3.2673,0.154505,34385.4011,0.10040500000000001,-0.25491,-0.0541,704.5306,5465.11,1.0,91.0,0.739905
CN(C)c1cc(B(c2cc(N(C)C)c(N(C)C)c(N(C)C)c2)c2cc(N(C)C)c(N(C)C)c(N(C)C)c2)cc(N(C)C)c1N(C)C,-1923.63189,6.8439,32664.0077,6089.147,-1924.39670483,0.998621,-1923.683551,-1923.7679,0.862612,-1923.630946,0.999565,0.0,1.0,1.871,0.11977,31001.4403,0.10064,-0.22041,-0.01913,629.7403,5082.28,1.0,106.0,0.946961
CN(C)c1cc(B(c2cc(N(C)C)c(O)c(N(C)C)c2)c2cc(N(C)C)c(O)c(N(C)C)c2)cc(N(C)C)c1O,-1747.735988,9.201,25219.1634,5173.632,-1748.26453328,0.781624,-1747.779496,-1747.859343,0.658268,-1747.735043,0.782568,0.0,1.0,2.0854,0.125125,24912.4638,0.109135,-0.23426,-0.01599,548.5339,4683.029,1.0,85.0,0.738116
CN(C)c1cc(B(c2cc(N(C)C)c([N+](=O)[O-])c(N(C)C)c2)c2cc(N(C)C)c([N+](=O)[O-])c(N(C)C)c2)cc(N(C)C)c1[N+](=O)[O-],-2135.397335,5.3382,31694.4711,5003.747,-2135.83825634,0.780933,-2135.445404,-2135.530975,0.647293,-2135.396391,0.781877,0.0,1.0,7.7056,0.16349,30397.8289,0.09869999999999998,-0.26219,-0.06479,635.5285,4958.258,1.0,88.0,0.732863
CN(C)c1cc(B(c2cc(N(C)C)cc(N(C)C)c2)c2cc(N(C)C)cc(N(C)C)c2)cc(N(C)C)c1,-1522.172194,7.9119,22306.1596,4509.394,-1522.78724616,0.766591,-1522.212871,-1522.289072,0.649712,-1522.17125,0.767535,0.0,1.0,0.5887,0.11262,22325.3105,0.10113,-0.21375,-0.01149,500.5357,4107.567,1.0,82.0,0.725913
CN(C)c1cc(C(F)(F)F)c(B(c2c(C(F)(F)F)cc(N(C)C)cc2C(F)(F)F)c2c(C(F)(F)F)cc(N(C)C)cc2C(F)(F)F)c(C(F)(F)F)c1,-3142.274197,5.5768,25754.4514,4833.86,-3142.85705762,0.582862,-3142.321967,-3142.40337,0.453689,-3142.273253,0.583806,0.0,1.0,0.1884,0.13785,25769.8996,0.10811000000000001,-0.24596,-0.02974,779.3209,4325.033,1.0,76.0,0.535092
CN(C)c1ccc(B(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,-1120.702226,5.0687,16504.1433,3451.831,-1121.08745637,0.531686,-1120.730196,-1120.790828,0.443084,-1120.701282,0.53263,0.0,1.0,1.5341,0.11244,15726.9701,0.11094,-0.22338,-0.0015,371.3311,3598.717,1.0,58.0,0.503716
COc1c(B(c2c(OC)c(C(C)(C)C)c(C)c(C(C)(C)C)c2OC)c2c(OC)c(C(C)(C)C)c(C)c(C(C)(C)C)c2OC)c(OC)c(C(C)(C)C)c(C)c1C(C)(C)C,-2465.851246,1.4315,35727.5933,7359.675,-2466.64105353,1.3193,-2465.916635,-2466.010453,1.160093,-2465.850302,1.320244,0.0,1.0,1.1485,0.128105,34372.3948,0.121795,-0.2499,-0.00631,801.0073,7867.239,1.0,139.0,1.253911
COc1c(B(c2c(OC)c(N(C)C)c(C)c(N(C)C)c2OC)c2c(OC)c(N(C)C)c(C)c(N(C)C)c2OC)c(OC)c(N(C)C)c(C)c1N(C)C,-2326.574013,5.4959,29180.3414,5527.221,-2327.22749518,1.066314,-2326.634408,-2326.727901,0.912426,-2326.573069,1.067259,0.0,1.0,2.4329,0.115315,29181.2094,0.114065,-0.22938,-0.00125,722.7733,6302.972,1.0,115.0,1.005919
COc1c(Br)c(C)c(Br)c(OC)c1B(c1c(OC)c(Br)c(C)c(Br)c1OC)c1c(OC)c(Br)c(C)c(Br)c1OC,-16950.814763,6.7018,34329.974,4071.999,-16951.1095105,0.546697,-16950.8597,-16950.943453,0.418006,-16950.813819,0.547641,0.0,1.0,2.0423,0.16706,34421.9022,0.1118,-0.27886,-0.05526,937.7407,4071.999,1.0,67.0,0.50176
COc1c(Br)c(Cl)c(B(c2c(Cl)c(Br)c(OC)c(Br)c2Cl)c2c(Cl)c(Br)c(OC)c(Br)c2Cl)c(Cl)c1Br,-19247.111557,0.8263,37845.5566,3683.558,-19247.4102413,0.298685,-19247.151235,-19247.231201,0.179041,-19247.110612,0.299629,0.0,1.0,2.4442,0.18311499999999997,37852.5015,0.11498499999999999,-0.2981,-0.06813,1012.2523,3800.497,1.0,46.0,0.259006
COc1c(Br)cc(B(c2cc(Br)c(OC)c(Br)c2)c2cc(Br)c(OC)c(Br)c2)cc1Br,-16489.678931,2.8181,33986.9589,3239.936,-16489.9018996,0.350856,-16489.710903,-16489.781556,0.248231,-16489.677987,0.351801,0.0,1.0,3.0278,0.182835,33322.0268,0.118235,-0.30107,-0.0646,805.5817,3694.664,1.0,46.0,0.318885
COc1c(C#N)c(C)c(C#N)c(OC)c1B(c1c(OC)c(C#N)c(C)c(C#N)c1OC)c1c(OC)c(C#N)c(C)c(C#N)c1OC,-2076.951549,4.422,21790.1017,5525.418,-2077.54480044,0.601336,-2076.99886,-2077.081922,0.470962,-2076.950605,0.60228,0.0,1.0,6.0931,0.189525,21799.5701,0.11788500000000002,-0.30741,-0.07164,614.4229,5057.162,1.0,73.0,0.554025
COc1c(C#N)cc(B(c2cc(C#N)c(OC)c(C#N)c2)c2cc(C#N)c(OC)c(C#N)c2)cc1C#N,-1615.807435,7.3144,20818.244,3795.843,-1616.2127308,0.40554,-1615.841779,-1615.912433,0.300542,-1615.806491,0.406485,0.0,1.0,3.6034,0.20476,20847.4758,0.11637999999999998,-0.32114,-0.08838,482.2639,3276.412,1.0,52.0,0.371196
COc1c(C(F)(F)F)cc(B(c2cc(C(F)(F)F)c(OC)c(C(F)(F)F)c2)c2cc(C(F)(F)F)c(OC)c(C(F)(F)F)c2)cc1C(F)(F)F,-3084.099807,5.2356,33901.1687,5044.41,-3084.31759721,0.455939,-3084.144535,-3084.229129,0.326618,-3084.098863,0.456883,0.0,1.0,4.5347,0.19934,32292.9584,0.12484999999999999,-0.32419,-0.07449,740.1949,4351.285,1.0,64.0,0.411211
COc1c(C)c(OC)c(C)c(B(c2c(C)c(OC)c(C)c(OC)c2C)c2c(C)c(OC)c(C)c(OC)c2C)c1C,-1759.241617,0.6211,20687.5321,5952.041,-1759.84059764,0.776688,-1759.287057,-1759.36564,0.652665,-1759.240673,0.777632,0.0,1.0,3.9611,0.14965499999999998,19791.2022,0.115975,-0.26563,-0.03368,548.5249,5228.144,1.0,85.0,0.731248
COc1c(C)c(OC)c(OC)c(B(c2c(OC)c(OC)c(C)c(OC)c2OC)c2c(OC)c(OC)c(C)c(OC)c2OC)c1OC,-2210.267042,2.9418,22909.0546,5745.51,-2210.63470247,0.813363,-2210.318103,-2210.401352,0.679054,-2210.266098,0.814307,0.0,1.0,3.4904,0.12969,23091.416,0.11299000000000001,-0.24268,-0.0167,644.5213,5610.85,1.0,91.0,0.762303
COc1c(C)cc(B(c2cc(C)c(OC)c(C)c2)c2cc(C)c(OC)c(C)c2)cc1C,-1298.138631,4.71,17078.935,4081.702,-1298.54972289,0.580892,-1298.172226,-1298.238596,0.480927,-1298.137687,0.581836,0.0,1.0,1.717,0.14779,16264.7159,0.1243,-0.27209,-0.02349,416.3659,3892.734,1.0,64.0,0.547297
COc1c(Cl)c(C)c(Cl)c(OC)c1B(c1c(OC)c(Cl)c(C)c(Cl)c1OC)c1c(OC)c(Cl)c(C)c(Cl)c1OC,-4281.119046,0.7043,22480.5382,5178.969,-4281.47505368,0.547906,-4281.162901,-4281.24185,0.425103,-4281.118102,0.54885,0.0,1.0,2.4036,0.163095,23208.3318,0.11940499999999998,-0.2825,-0.04369,671.0347,4985.362,1.0,67.0,0.504051
COc1c(Cl)c(OC)c([N+](=O)[O-])c(B(c2c([N+](=O)[O-])c(OC)c(Cl)c(OC)c2[N+](=O)[O-])c2c([N+](=O)[O-])c(OC)c(Cl)c(OC)c2[N+](=O)[O-])c1[N+](=O)[O-],-4011.057651,5.3235,28106.8019,3943.869,-4011.03694888,0.516274,-4011.107373,-4011.192515,0.38141,-4011.056707,0.517218,0.0,1.0,4.1032,0.21526499999999998,28690.8991,0.101545,-0.31681,-0.11372,795.6046,5142.006,1.0,70.0,0.466552
COc1c(Cl)cc(B(c2cc(Cl)c(OC)c(Cl)c2)c2cc(Cl)c(OC)c(Cl)c2)cc1Cl,-3819.991088,3.709,22055.9486,4186.892,-3820.20362187,0.35191,-3820.021926,-3820.088194,0.254804,-3819.990144,0.352854,0.0,1.0,0.804,0.18618,21763.7552,0.12117,-0.30735,-0.06501,538.8757,3549.756,1.0,46.0,0.321072
COc1c(F)c(C)c(F)c(OC)c1B(c1c(OC)c(F)c(C)c(F)c1OC)c1c(OC)c(F)c(C)c(F)c1OC,-2118.920406,4.1293,17248.957,3500.034,-2119.25352449,0.555311,-2118.962405,-2119.037558,0.438159,-2118.919462,0.556255,0.0,1.0,2.682,0.15150000000000002,17076.9783,0.11395000000000001,-0.26545,-0.03755,572.3071,4000.039,1.0,67.0,0.513313
COc1c(F)cc(B(c2cc(F)c(OC)c(F)c2)c2cc(F)c(OC)c(F)c2)cc1F,-1657.787126,7.9284,16611.0234,3268.497,-1657.97417353,0.359076,-1657.815688,-1657.878303,0.267899,-1657.786182,0.36002,0.0,1.0,2.6788,0.166545,15799.6202,0.116275,-0.28282,-0.05027,440.1481,3165.281,1.0,46.0,0.330514
COc1c(N(C)C)cc(B(c2cc(N(C)C)c(OC)c(N(C)C)c2)c2cc(N(C)C)c(OC)c(N(C)C)c2)cc1N(C)C,-1865.478205,9.0998,28994.9086,5259.289,-1866.11473979,0.872401,-1865.525955,-1865.608949,0.741657,-1865.477261,0.873345,0.0,1.0,4.0802,0.129165,27889.1557,0.107125,-0.23629,-0.02204,590.6143,5398.916,1.0,94.0,0.824651
COc1c(N)c(C)c(N)c(OC)c1B(c1c(OC)c(N)c(C)c(N)c1OC)c1c(OC)c(N)c(C)c(N)c1OC,-1855.539607,4.8951,17402.1904,4321.724,-1855.97083943,0.711286,-1855.582389,-1855.653698,0.597196,-1855.538663,0.71223,0.0,1.0,2.4555,0.110155,17361.5946,0.11236499999999999,-0.22252,0.00221,554.4517,4401.022,1.0,79.0,0.668504
COc1c(N)c(OC)c(F)c(B(c2c(F)c(OC)c(N)c(OC)c2F)c2c(F)c(OC)c(N)c(OC)c2F)c1F,-2167.064766,10.7537,20026.6435,4435.376,-2167.38375005,0.522203,-2167.105923,-2167.182101,0.404868,-2167.063822,0.523147,0.0,1.0,2.6888,0.135025,19970.2315,0.106245,-0.24127,-0.02878,575.2705,3574.138,1.0,64.0,0.481046
COc1c(N)cc(B(c2cc(N)c(OC)c(N)c2)c2cc(N)c(OC)c(N)c2)cc1N,-1394.427604,4.2037,16686.0872,3968.745,-1394.71103861,0.513587,-1394.458741,-1394.520408,0.420783,-1394.42666,0.514531,0.0,1.0,3.7759,0.12249,16150.2668,0.10898999999999999,-0.23148,-0.0135,422.2927,3140.485,1.0,58.0,0.482451
COc1c(O)c(C)c(O)c(OC)c1B(c1c(OC)c(O)c(C)c(O)c1OC)c1c(OC)c(O)c(C)c(O)c1OC,-1974.783186,1.2048,17175.2393,4447.965,-1975.04278511,0.632374,-1974.826365,-1974.900826,0.514733,-1974.782241,0.633318,0.0,1.0,4.2501,0.13203,17219.8379,0.10686,-0.23889,-0.02517,560.3605,3886.96,1.0,73.0,0.589195
COc1cc(B(c2cc(OC)c(Br)c(OC)c2)c2cc(OC)c(Br)c(OC)c2)cc(OC)c1Br,-9119.422643,9.7263,30085.8767,3579.186,-9119.71830868,0.483832,-9119.458194,-9119.530668,0.375807,-9119.421699,0.484776,0.0,1.0,5.4581,0.16664500000000002,28396.5829,0.113625,-0.28027,-0.05302,658.972,3423.569,1.0,58.0,0.448281
COc1cc(B(c2cc(OC)c(C(C)(C)C)c(OC)c2)c2cc(OC)c(C(C)(C)C)c(OC)c2)cc(OC)c1C(C)(C)C,-1877.001203,5.8096,30431.4345,5420.461,-1877.65767402,0.869664,-1877.047897,-1877.129231,0.741636,-1877.000259,0.870608,0.0,1.0,2.8033,0.15056499999999998,29413.802,0.11456499999999999,-0.26513,-0.036,590.6053,5750.403,1.0,94.0,0.822971
COc1cc(B(c2cc(OC)c(C(F)(F)F)c(OC)c2)c2cc(OC)c(C(F)(F)F)c(OC)c2)cc(OC)c1C(F)(F)F,-2416.61617,4.5587,29964.0112,4717.615,-2416.96063257,0.535462,-2416.658164,-2416.737941,0.413691,-2416.615226,0.536407,0.0,1.0,2.6714,0.184235,28986.8925,0.115955,-0.30019,-0.06828,626.2786,5051.606,1.0,67.0,0.493468
COc1cc(B(c2cc(OC)c(Cl)c(OC)c2)c2cc(OC)c(Cl)c(OC)c2)cc(OC)c1Cl,-2784.573417,9.5584,22143.8091,3867.003,-2784.91545737,0.484276,-2784.60861,-2784.679414,0.378279,-2784.572473,0.48522,0.0,1.0,1.1521,0.167785,21870.9519,0.11494499999999999,-0.28273,-0.05284,525.619,3912.498,1.0,58.0,0.449083
COc1cc(B(c2cc(OC)c(N)c(OC)c2)c2cc(OC)c(N)c(OC)c2)cc(OC)c1N,-1571.81032,5.3067,18515.2113,3698.598,-1572.12502986,0.56603,-1571.845188,-1571.9131,0.46325,-1571.809375,0.566974,0.0,1.0,1.7544,0.122585,18609.148,0.109405,-0.23199,-0.01318,467.3275,4096.296,1.0,64.0,0.531162
COc1cc(B(c2cc(OC)c(OC)c(OC)c2)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,-1749.153975,3.7095,23137.6436,3902.981,-1749.59001858,0.617003,-1749.19376,-1749.269842,0.501137,-1749.153031,0.617948,0.0,1.0,5.137,0.14745,21426.4284,0.11855,-0.266,-0.0289,512.3623,3627.477,1.0,70.0,0.577218
COc1cc(C)cc(OC)c1B(c1c(OC)cc(C)cc1OC)c1c(OC)cc(C)cc1OC,-1523.664574,3.754,13475.1079,4034.504,-1524.08371202,0.598459,-1523.700901,-1523.77157,0.491463,-1523.66363,0.599404,0.0,1.0,2.8442,0.12382,12904.1563,0.11988,-0.2437,-0.00394,464.3641,4189.677,1.0,67.0,0.562133
COc1cc(Cl)c(B(c2c(Cl)cc(OC)cc2Cl)c2c(Cl)cc(OC)cc2Cl)c(Cl)c1,-3820.002695,5.1218,15939.7167,3960.964,-3820.1973876,0.351505,-3820.03294,-3820.09654,0.25766,-3820.00175,0.35245,0.0,1.0,2.9448,0.15824500000000002,15348.8749,0.11958500000000001,-0.27783,-0.03866,538.8757,4338.198,1.0,46.0,0.32126
COc1cc(OC)cc(B(c2cc(OC)cc(OC)c2)c2cc(OC)cc(OC)c2)c1,-1405.86484,7.7867,16529.5568,3448.916,-1406.2241009,0.510746,-1405.895152,-1405.958472,0.417115,-1405.863896,0.51169,0.0,1.0,1.8135,0.1362,16137.4043,0.11161,-0.24781,-0.02459,422.2837,3884.986,1.0,58.0,0.480434
COc1ccc(B(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,-1062.546085,4.8819,12290.4611,2681.688,-1062.77058467,0.403539,-1062.568493,-1062.621643,0.327982,-1062.545141,0.404483,0.0,1.0,1.7612,0.13963499999999998,11568.0788,0.12149499999999999,-0.26113,-0.01814,332.2051,2979.653,1.0,46.0,0.381131
Cc1c(B(c2c(C)c(C(C)(C)C)c(C)c(C(C)(C)C)c2C)c2c(C)c(C(C)(C)C)c(C)c(C(C)(C)C)c2C)c(C)c(C(C)(C)C)c(C)c1C(C)(C)C,-2014.755535,2.2525,34079.2652,6898.211,-2015.7556385,1.28533,-2014.81393,-2014.901241,1.139624,-2014.754591,1.286274,0.0,1.0,1.1799,0.135755,32557.665,0.114395,-0.25015,-0.02136,705.0109,6748.25,1.0,133.0,1.226935
Cc1c(B(c2c(C)c(C(F)(F)F)c(C)c(C(F)(F)F)c2C)c2c(C)c(C(F)(F)F)c(C)c(C(F)(F)F)c2C)c(C)c(C(F)(F)F)c(C)c1C(F)(F)F,-3094.130082,2.5812,32442.7645,4693.674,-3094.53597636,0.617594,-3094.178229,-3094.262848,0.484828,-3094.129138,0.618538,0.0,1.0,1.1607,0.18937500000000002,30663.7254,0.121845,-0.31122,-0.06753,776.3575,4654.56,1.0,79.0,0.569447
Cc1c(B(c2c(C)c(N(C)C)c(C)c(N(C)C)c2C)c2c(C)c(N(C)C)c(C)c(N(C)C)c2C)c(C)c(N(C)C)c(C)c1N(C)C,-1875.517367,2.9997,27728.3212,6851.543,-1876.35593824,1.02992,-1875.571545,-1875.657784,0.889504,-1875.516423,1.030865,0.0,1.0,0.9188,0.125335,26465.7176,0.10925499999999999,-0.23459,-0.01608,626.7769,5622.991,1.0,109.0,0.975743
Cc1c(B(c2c(C)c([N+](=O)[O-])c(C)c([N+](=O)[O-])c2C)c2c(C)c([N+](=O)[O-])c(C)c([N+](=O)[O-])c2C)c(C)c([N+](=O)[O-])c(C)c1[N+](=O)[O-],-2299.078478,0.3225,25078.285,4806.769,-2299.33717045,0.595954,-2299.123602,-2299.205562,0.468869,-2299.077534,0.596898,0.0,1.0,1.5113,0.21832500000000002,24480.6209,0.121565,-0.33989,-0.09676,638.3533,4731.072,1.0,73.0,0.550829
Cc1c(Br)c(Br)c(B(c2c(Br)c(Br)c(C)c(Br)c2Br)c2c(Br)c(Br)c(C)c(Br)c2Br)c(Br)c1Br,-31691.315151,0.2783,38341.5298,5274.637,-31691.4724279,0.278852,-31691.352898,-31691.43121,0.162793,-31691.314207,0.279797,0.0,1.0,0.6729,0.176925,37479.9049,0.11297499999999999,-0.2899,-0.06395,1230.9601,4637.044,1.0,43.0,0.241106
Cc1c(Br)c(C#N)c(B(c2c(C#N)c(Br)c(C)c(Br)c2C#N)c2c(C#N)c(Br)c(C)c(Br)c2C#N)c(C#N)c1Br,-16817.422201,2.5762,33340.5704,4665.819,-16817.6115997,0.334082,-16817.462262,-16817.544197,0.212086,-16817.421257,0.335026,0.0,1.0,4.5015,0.21403499999999998,32564.9516,0.108385,-0.32242,-0.10565,907.6423,4779.619,1.0,49.0,0.294021
Cc1c(Br)c(C(F)(F)F)c(B(c2c(C(F)(F)F)c(Br)c(C)c(Br)c2C(F)(F)F)c2c(C(F)(F)F)c(Br)c(C)c(Br)c2C(F)(F)F)c(C(F)(F)F)c1Br,-18285.668721,2.8069,39890.3641,4925.37,-18285.6618598,0.382215,-18285.71774,-18285.803838,0.247099,-18285.667777,0.383159,0.0,1.0,1.7508,0.19366,38334.9184,0.1199,-0.31356,-0.07376,1165.5733,4979.495,1.0,61.0,0.333196
Cc1c(Br)c(C)c(B(c2c(C)c(Br)c(C)c(Br)c2C)c2c(C)c(Br)c(C)c(Br)c2C)c(C)c1Br,-16499.759422,2.9907,32539.722,4015.408,-16500.1373243,0.511206,-16499.797529,-16499.874047,0.396581,-16499.758477,0.51215,0.0,1.0,1.0615,0.169485,30919.9867,0.11822500000000001,-0.28771,-0.05126,841.7443,5105.304,1.0,61.0,0.473098
Cc1c(Br)c(Cl)c(B(c2c(Cl)c(Br)c(C)c(Br)c2Cl)c2c(Cl)c(Br)c(C)c(Br)c2Cl)c(Cl)c1Br,-19021.600878,0.5107,34122.7559,5281.144,-19021.7582295,0.280787,-19021.637207,-19021.712964,0.1687,-19021.599934,0.281731,0.0,1.0,1.4098,0.18103999999999998,32818.7786,0.11502,-0.29606,-0.06602,964.2541,4599.706,1.0,43.0,0.244458
Cc1c(Br)c(F)c(B(c2c(F)c(Br)c(C)c(Br)c2F)c2c(F)c(Br)c(C)c(Br)c2F)c(F)c1Br,-16859.436933,0.1114,31838.5116,3252.84,-16859.6214328,0.289507,-16859.470669,-16859.541374,0.185066,-16859.435989,0.290451,0.0,1.0,1.958,0.185335,30486.8358,0.107345,-0.29268,-0.07799,865.5265,3757.591,1.0,43.0,0.255771
Cc1c(Br)c(N(C)C)c(B(c2c(N(C)C)c(Br)c(C)c(Br)c2N(C)C)c2c(N(C)C)c(Br)c(C)c(Br)c2N(C)C)c(N(C)C)c1Br,-17067.111284,0.8139,38166.6853,4522.143,-17067.5047588,0.802053,-17067.16391,-17067.250905,0.662431,-17067.11034,0.802997,0.0,1.0,1.1452,0.14150000000000001,36430.6294,0.12499,-0.26649,-0.01651,1015.9927,5838.716,1.0,91.0,0.749427
Cc1c(Br)c(N)c(B(c2c(N)c(Br)c(C)c(Br)c2N)c2c(N)c(Br)c(C)c(Br)c2N)c(N)c1Br,-16596.086254,2.8137,32103.7307,4082.971,-16596.2916908,0.444194,-16596.122845,-16596.196718,0.33373,-16596.08531,0.445138,0.0,1.0,1.986,0.144615,30028.5473,0.100025,-0.24464,-0.04459,847.6711,4316.283,1.0,55.0,0.407603
Cc1c(Br)c(O)c(B(c2c(O)c(Br)c(C)c(Br)c2O)c2c(O)c(Br)c(C)c(Br)c2O)c(O)c1Br,-16715.316839,7.5586,31876.7224,4190.711,-16715.4627682,0.366854,-16715.352136,-16715.425056,0.258637,-16715.315895,0.367798,0.0,1.0,3.9787,0.15591000000000002,30432.7277,0.10782000000000001,-0.26373,-0.04809,853.5799,4074.303,1.0,49.0,0.331557
Cc1c(Br)c([N+](=O)[O-])c(B(c2c([N+](=O)[O-])c(Br)c(C)c(Br)c2[N+](=O)[O-])c2c([N+](=O)[O-])c(Br)c(C)c(Br)c2[N+](=O)[O-])c([N+](=O)[O-])c1Br,-17490.641911,4.5694,35906.5993,4628.554,-17490.5307512,0.364404,-17490.684962,-17490.766085,0.240229,-17490.640966,0.365348,0.0,1.0,6.136,0.2184,35118.6501,0.09872,-0.31712,-0.11968,1027.5691,5566.774,1.0,55.0,0.321352
Cc1c(Br)cc(B(c2cc(Br)c(C)c(Br)c2)c2cc(Br)c(C)c(Br)c2)cc1Br,-16264.170118,3.9638,30257.8836,4557.34,-16264.4126423,0.332902,-16264.199022,-16264.266252,0.236768,-16264.169174,0.333846,0.0,1.0,0.9477,0.18156,29480.1757,0.11718,-0.29874,-0.06438,757.5835,4282.801,1.0,43.0,0.303998
Cc1c(C#N)c(C#N)c(B(c2c(C#N)c(C#N)c(C)c(C#N)c2C#N)c2c(C#N)c(C#N)c(C)c(C#N)c2C#N)c(C#N)c1C#N,-1943.52576,3.3458,20350.3093,4676.742,-1943.78449629,0.386919,-1943.569023,-1943.651024,0.261656,-1943.524816,0.387863,0.0,1.0,2.1165,0.25622,19630.2962,0.11364,-0.36986,-0.14258,584.3245,3585.502,1.0,55.0,0.343656
Cc1c(C#N)c(C)c(B(c2c(C)c(C#N)c(C)c(C#N)c2C)c2c(C)c(C#N)c(C)c(C#N)c2C)c(C)c1C#N,-1625.900723,2.7203,19151.9069,4773.273,-1626.46222075,0.564306,-1625.941773,-1626.017076,0.447952,-1625.899778,0.56525,0.0,1.0,0.707,0.21223999999999998,19154.7438,0.11995,-0.33219,-0.09229,518.4265,4812.722,1.0,67.0,0.523256
Cc1c(C#N)cc(B(c2cc(C#N)c(C)c(C#N)c2)c2cc(C#N)c(C)c(C#N)c2)cc1C#N,-1389.915914,2.7918,16505.3913,3689.116,-1390.21951129,0.38343,-1389.946911,-1390.012821,0.286523,-1389.91497,0.384374,0.0,1.0,2.1742,0.2094,16684.6554,0.11456000000000002,-0.32396,-0.09484,434.2657,3350.319,1.0,49.0,0.352432
Cc1c(C(C)(C)C)c(F)c(B(c2c(F)c(C(C)(C)C)c(C)c(C(C)(C)C)c2F)c2c(F)c(C(C)(C)C)c(C)c(C(C)(C)C)c2F)c(F)c1C(C)(C)C,-2374.548037,10.592,33116.9751,6558.341,-2375.32239639,1.061015,-2374.604333,-2374.692243,0.91681,-2374.547093,1.061959,0.0,1.0,1.7262,0.15208,31052.3161,0.11552,-0.2676,-0.03656,728.7931,6917.0,1.0,115.0,1.00472
Cc1c(C(F)(F)F)c(C(F)(F)F)c(B(c2c(C(F)(F)F)c(C(F)(F)F)c(C)c(C(F)(F)F)c2C(F)(F)F)c2c(C(F)(F)F)c(C(F)(F)F)c(C)c(C(F)(F)F)c2C(F)(F)F)c(C(F)(F)F)c1C(F)(F)F,-4880.035001,3.5404,39815.1257,5692.78,-4880.21120112,0.487832,-4880.09426,-4880.186051,0.336782,-4880.034057,0.488776,0.0,1.0,0.6025,0.212765,38001.8807,0.128765,-0.34153,-0.084,1100.1865,4464.123,1.0,79.0,0.428573
Cc1c(C(F)(F)F)c(F)c(B(c2c(F)c(C(F)(F)F)c(C)c(C(F)(F)F)c2F)c2c(F)c(C(F)(F)F)c(C)c(C(F)(F)F)c2F)c(F)c1C(F)(F)F,-3453.840542,3.6261,32330.9433,3792.437,-3454.05417352,0.394562,-3453.885747,-3453.967854,0.267251,-3453.839598,0.395506,0.0,1.0,1.6745,0.21186,30438.5741,0.12065999999999999,-0.33252,-0.0912,800.1397,4261.977,1.0,61.0,0.349358
Cc1c(C(F)(F)F)c(N(C)C)c(B(c2c(N(C)C)c(C(F)(F)F)c(C)c(C(F)(F)F)c2N(C)C)c2c(N(C)C)c(C(F)(F)F)c(C)c(C(F)(F)F)c2N(C)C)c(N(C)C)c1C(F)(F)F,-3661.470852,2.6616,38296.6656,5826.158,-3661.33516813,0.908066,-3661.532592,-3661.623976,0.754942,-3661.469908,0.909011,0.0,1.0,0.5626,0.14929499999999998,35650.2862,0.105455,-0.25475,-0.04384,950.6059,6760.122,1.0,109.0,0.846326
Cc1c(C(F)(F)F)cc(B(c2cc(C(F)(F)F)c(C)c(C(F)(F)F)c2)c2cc(C(F)(F)F)c(C)c(C(F)(F)F)c2)cc1C(F)(F)F,-2858.59429,3.874,30317.9574,4070.168,-2858.87249787,0.438785,-2858.635,-2858.713167,0.319908,-2858.593346,0.439729,0.0,1.0,1.6073,0.20157999999999998,28945.1056,0.12644,-0.32802,-0.07514,692.1967,4179.191,1.0,61.0,0.398076
Cc1c(C)c(B(c2c(C)c(C)c(F)c(C)c2C)c2c(C)c(C)c(F)c(C)c2C)c(C)c(C)c1F,-1488.045595,2.6429,15104.9059,4331.435,-1488.54008137,0.630653,-1488.082528,-1488.150593,0.525654,-1488.04465,0.631597,0.0,1.0,1.0294,0.150845,14761.5215,0.120925,-0.27177,-0.02992,464.4196,3638.405,1.0,70.0,0.593719
Cc1c(C)c(C(F)(F)F)c(B(c2c(C(F)(F)F)c(C)c(C)c(C)c2C(F)(F)F)c2c(C(F)(F)F)c(C)c(C)c(C)c2C(F)(F)F)c(C(F)(F)F)c1C,-3094.129191,3.9105,22666.0393,4239.763,-3094.47305556,0.615653,-3094.177484,-3094.254722,0.490122,-3094.128247,0.616597,0.0,1.0,3.1005,0.163915,21977.2595,0.127275,-0.29119,-0.03664,776.3575,4363.252,1.0,79.0,0.56736
