can,APT_charge,ES_root_Mulliken_charge,ES_root_NPA_Rydberg,ES_root_NPA_charge,ES_root_NPA_core,ES_root_NPA_total,ES_root_NPA_valence,Mulliken_charge,NMR_anisotropy,NMR_shift,NPA_Rydberg,NPA_charge,NPA_core,NPA_total,NPA_valence,VBur,X,Y,Z
N#Cc1c(N)cc2c(c1Cl)NB1Nc3c(cc(N)c(C#N)c3Cl)N12,1.130648,0.680554,0.01634,1.0428,1.99893,3.9572,1.94193,0.683329,16.3771,89.704,0.01623,1.06177,1.99894,3.93823,1.92306,0.6036815607300189,7.6e-05,-1.638007,-0.000628
N#Cc1c(N)cc2c(c1Cl)N[BH-]1Nc3c(cc(N)c(C#N)c3Cl)N12,1.142438,0.518543,0.01743,0.66626,1.9992,4.33374,2.31711,0.54219,14.5573,106.3108,0.0169,0.69651,1.99922,4.30349,2.28736,0.6013215859030837,-8.9e-05,-1.842117,1.070017
N#Cc1cc(F)c2c(c1)N1B(N2)Nc2c(F)cc(C#N)cc21,1.038873,0.683692,0.01693,1.04418,1.99892,3.95582,1.93997,0.684357,14.8942,90.09,0.01637,1.05221,1.99892,3.94779,1.9325,0.6036815607300189,4.1e-05,-1.971516,0.00023
N#Cc1cc(F)c2c(c1)N1[BH-](N2)Nc2c(F)cc(C#N)cc21,1.132106,0.507295,0.01881,0.64749,1.9992,4.35251,2.3345,0.55174,15.0362,105.6756,0.01681,0.69022,1.99924,4.30978,2.29372,0.5999056010069226,-9e-06,-2.203764,0.927593
N#Cc1cc2c(c(Br)c1Br)NB1Nc3c(cc(C#N)c(Br)c3Br)N12,1.12402,0.685822,0.01691,1.05422,1.99893,3.94578,1.92994,0.687545,16.4595,89.8848,0.01635,1.05992,1.99893,3.94008,1.92481,0.6038388923851479,7e-06,-1.522282,-0.000109
N#Cc1cc2c(c(Br)c1Br)N[BH-]1Nc3c(cc(C#N)c(Br)c3Br)N12,1.18807,0.516087,0.01819,0.65433,1.99919,4.34567,2.32829,0.551897,12.73,106.9056,0.01642,0.68899,1.99923,4.31101,2.29535,0.598725613593455,-0.000194,-1.756923,1.55522
N#Cc1cc2c(c(C(F)(F)F)c1C#N)NB1Nc3c(cc(C#N)c(C#N)c3C(F)(F)F)N12,1.107772,0.694037,0.0168,1.05077,1.99894,3.94923,1.93349,0.695782,15.1324,88.4444,0.01647,1.06712,1.99894,3.93288,1.91747,0.6057268722466961,-0.039124,-1.422795,-7.8e-05
N#Cc1cc2c(c(C(F)(F)F)c1C#N)N[BH-]1Nc3c(cc(C#N)c(C#N)c3C(F)(F)F)N12,1.12713,0.514515,0.01697,0.65414,1.99918,4.34586,2.32971,0.54305,14.1674,106.1645,0.01604,0.68446,1.99923,4.31554,2.30028,0.6002989301447451,5.1e-05,-1.613023,-1.438821
N#Cc1cc2c(cc1[N+](=O)[O-])N1B(N2)Nc2cc(C#N)c([N+](=O)[O-])cc21,1.041728,0.688161,0.01636,1.05833,1.99893,3.94167,1.92638,0.691758,17.6876,88.5017,0.01636,1.0594,1.99893,3.9406,1.9253,0.6045468848332285,0.0,-2.519114,-0.000303
N#Cc1cc2c(cc1[N+](=O)[O-])N1[BH-](N2)Nc2cc(C#N)c([N+](=O)[O-])cc21,1.103628,0.518734,0.01683,0.65588,1.99919,4.34412,2.3281,0.54754,14.6871,105.9533,0.01637,0.68672,1.99923,4.31328,2.29768,0.5986469477658904,2.1e-05,2.798249,0.898627
N#Cc1ccc2c(c1F)NB1Nc3c(ccc(C#N)c3F)N12,1.020348,0.685682,0.01669,1.03587,1.99893,3.96413,1.94851,0.686293,14.6353,90.0697,0.01635,1.05487,1.99893,3.94513,1.92985,0.6044682190056639,-0.000124,1.524327,-0.00064
N#Cc1ccc2c(c1F)N[BH-]1Nc3c(ccc(C#N)c3F)N12,1.073108,0.513025,0.01806,0.65706,1.9992,4.34294,2.32568,0.546134,14.9612,104.8737,0.01705,0.69489,1.99923,4.30511,2.28883,0.6017935808684708,-0.000147,1.84071,-0.886067
Nc1c(Br)cc2c(c1Cl)NB1Nc3c(cc(Br)c(N)c3Cl)N12,1.085876,0.667247,0.01704,1.04294,1.99891,3.95706,1.94111,0.671013,15.5013,90.4132,0.01629,1.04886,1.99891,3.95114,1.93594,0.604153555695406,1.6e-05,2.36218,7e-05
Nc1c(Br)cc2c(c1Cl)N[BH-]1Nc3c(cc(Br)c(N)c3Cl)N12,1.189751,0.541615,0.01668,0.67846,1.99923,4.32154,2.30563,0.550442,14.2571,106.8794,0.01705,0.69246,1.99925,4.30754,2.29124,0.6002989301447451,-0.002801,-2.605904,-1.224122
Nc1c(Br)cc2c(c1[N+](=O)[O-])NB1Nc3c(cc(Br)c(N)c3[N+](=O)[O-])N12,1.099916,0.689464,0.01712,1.07967,1.99893,3.92033,1.90428,0.659253,16.3761,89.6389,0.01641,1.03801,1.99891,3.96199,1.94667,0.6047828823159219,-9e-06,-2.226482,-0.000648
Nc1c(Br)cc2c(c1[N+](=O)[O-])N[BH-]1Nc3c(cc(Br)c(N)c3[N+](=O)[O-])N12,1.266493,0.532252,0.01602,0.66498,1.99922,4.33502,2.31978,0.541378,16.1025,106.9607,0.0164,0.67565,1.99925,4.32435,2.3087,0.598725613593455,0.010494,-2.413464,-1.400371
Nc1ccc2c(c1Cl)NB1Nc3c(ccc(N)c3Cl)N12,1.046551,0.66121,0.01709,1.03879,1.99891,3.96121,1.94521,0.66321,16.1761,90.4302,0.01625,1.04265,1.99891,3.95735,1.94219,0.6043895531780994,5e-06,-1.198179,0.000886
Nc1ccc2c(c1Cl)N[BH-]1Nc3c(ccc(N)c3Cl)N12,1.16331,0.53383,0.01801,0.67139,1.99922,4.32861,2.31138,0.550726,14.4046,106.7071,0.01722,0.69248,1.99925,4.30752,2.29105,0.6028162366268093,-0.000152,-1.370591,-1.279677
O=[N+]([O-])c1c(C(F)(F)F)cc2c(c1Br)NB1Nc3c(cc(C(F)(F)F)c([N+](=O)[O-])c3Br)N12,1.086229,0.69537,0.01643,1.06793,1.99894,3.93207,1.9167,0.691953,17.1945,89.3216,0.01636,1.06295,1.99893,3.93705,1.92175,0.6038388923851479,5.1e-05,-1.953137,0.000697
O=[N+]([O-])c1c(C(F)(F)F)cc2c(c1Br)N[BH-]1Nc3c(cc(C(F)(F)F)c([N+](=O)[O-])c3Br)N12,1.125882,0.531202,0.01652,0.66667,1.99919,4.33333,2.31762,0.550449,12.9499,106.2709,0.01633,0.69112,1.99923,4.30888,2.29333,0.5997482693517936,0.000175,-2.159677,-1.453617
