SMILES,FIA,group,HIA,reorg_nrj,GEI
Oc1c(Cl)ccc2c1NB1Nc3c(ccc(Cl)c3O)N12,277.24270039983094,NNN,399.7635629568249,204.53531799998927,1.2664275025935423
Oc1cc2c(c(O)c1Br)NB1Nc3c(cc(O)c(Br)c3O)N12,268.1476924009621,NNN,402.8170029595494,223.26826599964988,1.2723656075652785
Oc1cc2c(cc1F)N1B(N2)Nc2cc(O)c(F)cc21,277.80760239996016,NNN,,,1.0404980089238511
c1ccc2c(c1)NB1Nc3ccccc3N12,246.432263,NNN,,167.299396,1.0286976926943725
Brc1cc(Br)c2c(c1)N1B(O2)Oc2c(Br)cc(Br)cc21,416.679895658046,ONO,421.8840544037521,185.5500399979064,2.3100610602784624
Brc1ccc2c(c1)N1B(O2)Oc2ccc(Br)cc21,379.5528548564762,ONO,,,1.898748754071815
Brc1ccc2c(c1)OB1Oc3cc(Br)ccc3N12,382.61626223661005,ONO,,,1.853526333237704
Brc1ccc2c(c1Br)OB1Oc3c(ccc(Br)c3Br)N12,410.1484388075769,ONO,,,2.1647665900248985
Brc1cccc2c1OB1Oc3c(Br)cccc3N12,378.3202087655664,ONO,,,1.84046372125
CC(C)(C)c1c(C#N)c(C#N)cc2c1OB1Oc3c(cc(C#N)c(C#N)c3C(C)(C)C)N12,477.6998809436336,ONO,,,3.920947859892616
CC(C)(C)c1c(C(F)(F)F)cc2c(c1N)OB1Oc3c(cc(C(F)(F)F)c(C(C)(C)C)c3N)N12,384.6726327575743,ONO,390.18766240030527,,1.6624366667365544
CC(C)(C)c1c(F)c(Br)cc2c1OB1Oc3c(cc(Br)c(F)c3C(C)(C)C)N12,399.2792880609632,ONO,404.65245039761066,,1.7746099157884698
CC(C)(C)c1c(F)ccc2c1OB1Oc3c(ccc(F)c3C(C)(C)C)N12,368.04536624532193,ONO,373.7218884006143,,1.4101784148379493
CC(C)(C)c1c(N)cc2c(c1[N+](=O)[O-])OB1Oc3c(cc(N)c(C(C)(C)C)c3[N+](=O)[O-])N12,388.5450617680326,ONO,394.0224804002792,206.70681199962928,2.4578247818631502
CC(C)(C)c1c(O)cc2c(c1O)OB1Oc3c(cc(O)c(C(C)(C)C)c3O)N12,374.3289233651012,ONO,,,1.3692732073661962
CC(C)(C)c1c([N+](=O)[O-])cc2c(c1N)OB1Oc3c(cc([N+](=O)[O-])c(C(C)(C)C)c3N)N12,407.1945147877559,ONO,412.49080040026456,199.8397440003373,2.52186704846087
CC(C)(C)c1c2c(cc(Cl)c1C(F)(F)F)N1B(O2)Oc2c1cc(Cl)c(C(F)(F)F)c2C(C)(C)C,427.0018133968115,ONO,,,2.723345317257357
CC(C)(C)c1cc(F)cc2c1OB1Oc3c(cc(F)cc3C(C)(C)C)N12,351.5901487627998,ONO,,,1.6194376625243423
CC(C)(C)c1cc2c(c(Br)c1Cl)OB1Oc3c(cc(C(C)(C)C)c(Cl)c3Br)N12,405.0663368366658,ONO,410.3832924030721,184.71013600083097,2.028034096594564
CC(C)(C)c1cc2c(c(C(C)(C)C)c1O)OB1Oc3c(cc(C(C)(C)C)c(O)c3C(C)(C)C)N12,365.206045310013,ONO,370.9101443998516,163.36439599995174,1.019312104479693
CC(C)(C)c1cc2c(c(C(F)(F)F)c1)OB1Oc3c(cc(C(C)(C)C)cc3C(F)(F)F)N12,389.9661662606522,ONO,,,1.9470649712226225
CC(C)(C)c1cc2c(c(C(F)(F)F)c1N)OB1Oc3c(cc(C(C)(C)C)c(N)c3C(F)(F)F)N12,374.32254339940846,ONO,379.9380983998999,,1.3729434889792425
