SMILES,FIA,group,HIA,reorg_nrj,GEI,class FIA
Cc1cc2c(cc1Br)OB1Oc3cc(Br)c(C)cc3N12,374.2983625382185,ONO,,,1.754751538113052,medium LA
COc1c(F)c(N(C)C)cc2c1OB1Oc3c(cc(N(C)C)c(F)c3OC)N12,376.4559460962191,ONO,,,1.3986825005602066,medium LA
Oc1cc(Br)c2c(c1)N1B(O2)Oc2c(Br)cc(O)cc21,371.5334745384753,ONO,,,1.8515487833574864,medium LA
Cc1cc2c(c(N)c1Cl)OB1Oc3c(cc(C)c(Cl)c3N)N12,358.4134037019685,ONO,364.1834763996303,184.6726440000566,1.3470895691397768,medium LA
N#Cc1c([N+](=O)[O-])cc2c(c1Br)OB1Oc3c(cc([N+](=O)[O-])c(C#N)c3Br)N12,521.3218316286802,ONO,,,5.101816522002965,strong LA
O=[N+]([O-])c1c(O)cc2c(c1Br)OB1Oc3c(cc(O)c([N+](=O)[O-])c3Br)N12,446.6690415740013,ONO,,,3.387457494014358,good LA
CN(C)c1cc2c(cc1Br)OB1Oc3cc(Br)c(N(C)C)cc3N12,377.04833770543337,ONO,382.63741839677095,184.25474599989684,1.717814242595513,medium LA
Cc1cc2c(c([N+](=O)[O-])c1N)OB1Oc3c(cc(C)c(N)c3[N+](=O)[O-])N12,398.0364812854677,ONO,,,2.740340293146049,medium LA
Cc1c2c(cc(F)c1N(C)C)N1B(O2)Oc2c1cc(F)c(N(C)C)c2C,362.9203636003658,ONO,368.6466624001041,,1.4221663993384284,medium LA
N#Cc1c([N+](=O)[O-])cc2c(c1C#N)OB1Oc3c(cc([N+](=O)[O-])c(C#N)c3C#N)N12,564.1994530027732,ONO,,,5.9719492858145165,super LA
Fc1c(Br)c(Cl)cc2c1OB1Oc3c(cc(Cl)c(Br)c3F)N12,429.3017515689135,ONO,434.3833203986287,,2.4040252099224944,good LA
N#Cc1c(F)cc2c(c1C(F)(F)F)OB1Oc3c(cc(F)c(C#N)c3C(F)(F)F)N12,481.6965748779476,ONO,,,4.2604124485704045,good LA
CC(C)(C)c1c([N+](=O)[O-])cc2c(c1N)OB1Oc3c(cc([N+](=O)[O-])c(C(C)(C)C)c3N)N12,407.1945147877559,ONO,412.49080040026456,199.8397440003373,2.52186704846087,good LA
Clc1ccc2c(c1Br)OB1Oc3c(ccc(Cl)c3Br)N12,409.5875006914139,ONO,,,2.1568944178659613,good LA
